timestamp,action,name,type,receiversSig,receiverSignature,logtekSignature,sensors,fishingDate,weight,productRFID,ownershipTimestamp,transmitterSig,temperature,humidity,ammoniaConcentration,dissolvedOxygen,scannedProductRFIDs,certification,participant,
1678130000,setmember,fisherman1,fisher,[aaaa1111/7;aaaa2222/7],,,,,,,,,,,,,,Cert1,,
1678130001,setmember,transporter1,transportera,[aaaa3333/7;aaaa4444/7],,,,,,,,,,,,,,Cert2,,
1678130002,setmember,transforment,ET,[bbbb3333/7;bbbb4444/7],,,,,,,,,,,,,,Cert3,,
1678130003,setmember,transporter2,transporterb,[aaaa6666/7;aaaa5555/7],,,,,,,,,,,,,,Cert4,,
1678130004,setmember,retailer1,retailer,[aaaa7777/7;aaaa8888/7],,,,,,,,,,,,,,Cert5,,
1678130005,setmember,transentrepr,ET,[bbbb3333/7;bbbb4444/7],,,,,,,,,,,,,,Cert6,,
1678130006,initlogtek,,,,aaaa1111/7,a1111111/7,[cccc1111/7;cccc2222/7],1678130010,0,,,,,,,,,,,
1678130007,initlogtek,,,,bbbb3333/7,a2222222/7,[dddd3333/7;dddd4444/7],,1.5,,,,,,,,,,,
1678130008,addproduct,,,,aaaa1111/7,a1111111/7,,,,00000001/7,1678130016,,,,,,,,,
1678130008,addproduct,,,,aaaa1111/7,a1111111/7,,,,00000002/7,1678130018,,,,,,,,,
1678130008,addproduct,,,,aaaa1111/7,a1111111/7,,,,00000003/7,1678130020,,,,,,,,,
1678130008,addproduct,,,,aaaa1111/7,a1111111/7,,,,00000004/7,1678130022,,,,,,,,,
1678130008,addproduct,,,,aaaa1111/7,a1111111/7,,,,00000005/7,1678130024,,,,,,,,,
1678130008,addproduct,,,,aaaa1111/7,a1111111/7,,,,00000006/7,1678130026,,,,,,,,,
1678130008,addproduct,,,,aaaa1111/7,a1111111/7,,,,00000007/7,1678130028,,,,,,,,,
1678130008,addproduct,,,,aaaa1111/7,a1111111/7,,,,00000008/7,1678130030,,,,,,,,,
1678130008,addproduct,,,,aaaa1111/7,a1111111/7,,,,00000009/7,1678130016,,,,,,,,,
1678130008,addproduct,,,,aaaa1111/7,a1111111/7,,,,00000010/7,1678130018,,,,,,,,,
